PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
CardChangeModule.CardChangeDevParam.CardFocusParam.PeakRangeThreshold;20003173;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.PotentialThreshold;20003174;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCSAccScale;20003126;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageBackPos.T;20003130;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageBackPos.X;20003127;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageBackPos.Y;20003128;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageBackPos.Z;20003129;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageCarrierPos.T;20003138;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageCarrierPos.X;20003135;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageCarrierPos.Y;20003136;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageCarrierPos.Z;20003137;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageFrontDoor.T;20003134;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageFrontDoor.X;20003131;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageFrontDoor.Y;20003132;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCStageFrontDoor.Z;20003133;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CCSVelScale;20003124;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CLAMPLock_Timeout;20003139;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CLPLKSEQTYPE;20003145;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.ControllerType;20003148;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.FrontDoorOpenSensorAttached;20003142;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.ManipulatorType;20003146;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.CheckDualPeak;20003194;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.CheckFlatness;20003193;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.CheckPotential;20003191;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.CheckThresholdFocusValue;20003192;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.DepthOfField;20003185;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FlatnessThreshold;20003188;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusingAxis;20003197;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusingCam;20003195;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusingROI;20003196;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusingType;20003198;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusMaxStep;20003183;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusRange;20003184;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.FocusThreshold;20003187;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.OutFocusLimit;20003186;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.PeakRangeThreshold;20003189;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.PogoFocusParam.PotentialThreshold;20003190;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.SACCOffSetY;20003150;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.TPLock_Timeout;20003140;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.ZIFLock_Timeout;20003141;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.ZIFSEQTYPE;20003144;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.EdgeMovement;52;Set Edge Movement;Leina;;10011001;;0;0;0;0;Lot Set condition to execute EdgeDetection operation during operation.;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckDualPeak;579;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckFlatness;578;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckPotential;87;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.CheckThresholdFocusValue;576;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.DepthOfField;49;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FlatnessThreshold;84;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingAxis;600;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingCam;592;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingROI;599;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusingType;601;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusMaxStep;47;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusRange;48;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.FocusThreshold;51;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.OutFocusLimit;50;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.PeakRangeThreshold;85;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.FocusParam.PotentialThreshold;86;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcTolerance;617;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcToleranceLoadingPos;631;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
EdgeStandard.WA_EdgeParam_Standard.gIntEdgeDetectProcToleranceRad;624;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].CamPos.T;20003219;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].CamPos.X;20003216;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].CamPos.Y;20003217;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].CamPos.Z;20003218;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_X.T;20003231;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_X.X;20003228;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_X.Y;20003229;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_X.Z;20003230;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_Y.T;20003235;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_Y.X;20003232;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_Y.Y;20003233;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].RelPos_Y.Z;20003234;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_X.T;20003223;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_X.X;20003220;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_X.Y;20003221;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_X.Z;20003222;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_Y.T;20003227;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_Y.X;20003224;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_Y.Y;20003225;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[0].VMPos_Y.Z;20003226;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].CamPos.T;20003239;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].CamPos.X;20003236;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].CamPos.Y;20003237;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].CamPos.Z;20003238;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_X.T;20003251;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_X.X;20003248;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_X.Y;20003249;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_X.Z;20003250;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_Y.T;20003255;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_Y.X;20003252;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_Y.Y;20003253;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].RelPos_Y.Z;20003254;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_X.T;20003243;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_X.X;20003240;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_X.Y;20003241;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_X.Z;20003242;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_Y.T;20003247;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
ErrorMappingManager.ErrorMappingParam.ErrorMappingCamera[1].VMPos_Y.X;20003244;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
