No,EventCodeEnum,Value,Used,Notify,Description
851,CleanPad_Focusing_5Point_Start,0x00116101,,,
852,CleanPad_Focusing_1Point_Start,0x00116102,,,
853,CleanPad_Focusing_OK,0x00116103,,,
854,CleanPad_Focusing_Failure,0x00116104,,,
855,Confirm_Touch_Sensor_Base_Position_Failure,0x00116105,,,
856,CleanPad_Cleaning_Start,0x00116201,,,
857,CleanPad_Cleaning_OK,0x00116202,,,
858,CleanPad_Cleaning_Failure,0x00116203,,,
859,Polishwafer_Centering_Start,0x00119001,,,
860,Polishwafer_Centering_OK,0x00119002,,,
861,Polishwafer_Centering_Failure,0x00119003,,,
862,Polishwafer_Focusing_Start,0x00119004,,,
863,Polishwafer_Focusing_OK,0x00119005,,,
864,Polishwafer_Focusing_Failure,0x00119006,,,
865,Polishwafer_Cleaning_Start,0x00119007,,,
866,Polishwafer_Cleaning_OK,0x00119008,,,
867,Polishwafer_Cleaning_Failure,0x00119009,,,
868,Stage_Emergency_Stop,0x00150001,,,
869,Loader_Emergency_Stop,0x00150002,,O,
870,EMG_Button_On,0x00150003,,,
871,Main_Air_Error,0x00150004,,,
872,Main_Vacuum_Error,0x00150005,,,
873,Main_Power_Error,0x00150006,,O,
874,Stage_Axes_State_Error,0x00150007,,,
875,Loader_Axes_State_Error,0x00150008,,,
876,Tester_EMG_Button_On,0x00150009,,,
877,Chuck_Vacuum_Error,0x00150010,,O,
878,PreAlign_Vacuum_Error,0x00150011,,,
879,Arms_Vacuum_Error,0x00150012,,,
880,Three_Leg_Error,0x00150013,,,
881,Front_Door_Error,0x00150014,,,
882,Loader_Door_Error,0x00150015,,,
883,Monitoring_Error,0x00150016,,,
884,Monitoring_ReStart,0x00150017,,,
885,Three_Leg_Time_Out,0x00150018,,,
886,LOADER_ERROR_OCCUR,0x00150019,,O,
887,STAGE_ERROR_OCCUR,0x00150020,,O,
888,Wafer_Missing_Error,0x00150021,,O,
889,GP_CardChange_CARD_STATE_CHECK_SKIPED,0x00330400,,,
890,GP_CardChange_POGO_ALIGN_FAIL,0x00330401,,,
891,GP_CardChange_CARD_CONTACT_LIMIT_ERROR,0x00330402,,,
892,GP_CardChange_CARD_CHANGE_SAVE_PARAM_ERROR,0x00330403,,,
893,GP_CardChange_CARD_MAINVAC_ERROR,0x00330404,,O,
894,GP_CardChange_DOCK_PAUSED,0x00330410,,,
895,GP_CardChange_ABORT,0x00330420,,,
