No,EventCodeEnum,Value,Used,Notify,Description
212,WAFER_ALIGN_THETA_COMPENSATION_FAIL,0x00017208,,O,
213,WAFER_ALIGN_PLANARITY_OVER_TOLERANCE,0x00017209,,,
214,WAFER_ALIGN_CONFIRM_CENTER_DIE_FAIL,0x00017210,,,
215,WAFER_FOCUSING_FAILED_AFTER_SOAKING,0x00017211,,,
216,WAFER_ALIGN_FAIL_MARK_DIFF_TOLERANCE,0x00017212,,,
217,VERIFYALIGN_OVERFLOW_LIMIT,0x00017301,,,
218,WAFER_LOW_PATTERN_INTERVALINDEX_ERROR,0x00017401,,,
219,WAFER_LOW_PATTERN_NOT_FOUND,0x00017402,,O,
220,WAFER_LOW_FOCUSING_FAIL,0x00017403,,O,
221,WAFER_HIGH_PATTERN_INTERVAL_X_INDEX_ERROR,0x00017501,,,
222,WAFER_HIGH_PATTERN_INTERVAL_Y_INDEX_ERROR,0x00017502,,,
223,WAFER_HIGH_PATTERN_NOT_FOUND,0x00017503,,O,
224,WAFER_HIGH_FOCUSING_FAIL,0x00017504,,O,
225,AUTO_MAP_GERNERATE_USER_CANCEL,0x00017651,,,
226,WAFER_INDEX_ALIGN_FAIL,0x00017671,,O,
227,WAFER_INDEX_ALIGN_FOCUSING_FAIL,0x00017672,,,
228,WAFER_INDEX_ALIGN_PATTERN_NOT_FOUND,0x00017701,,O,
229,FIRST_PAD_NOT_INCLUDE_FIRST_DUT,0x00017801,,,
230,PAD_REGISTRATION_FAILED,0x00017802,,,
231,PAD_AUTOCOMP_PM_FAILED,0x00017803,,,
232,PAD_AUTOCOMP_OUT_OF_TOL,0x00017804,,,
233,WAFER_HEIGHT_PROFILE_FAIL,0x00017805,,,
234,PTPA_FAIL,0x00018000,,,
235,PTPA_OUT_OF_TOLERENCE,0x00018001,,,
236,PTPA_PIN_NOT_ENOUGH,0x00018002,,,
237,PTPA_PAD_NOT_ENOUGH,0x00018003,,,
238,PTPA_WRONG_PAD_NUMBER,0x00018004,,,
239,PTPA_WRONG_DUT_NUMBER,0x00018005,,,
240,NEEDLE_CLEANING_OVER_CYCLE_LIMIT,0x00019000,,,
241,NEEDLE_CLEANING_OVER_CONTACT_COUNT_LIMIT,0x00019001,,,
242,NEEDLE_CLEANING_NOT_ENOUGH_AREA,0x00019002,,,
243,NEEDLE_CLEANING_NOT_READY,0x00019003,,,
244,NEEDLE_CLEANING_UNKNOWN_EXCEPTION,0x00019004,,,
245,NEEDLE_CLEANING_HEIGHT_OVER_TOLERANCE,0x00019005,,,
246,NEEDLE_CLEANING_PLANARITY_OVER_TOLERANCE,0x00019006,,,
247,NEEDLE_CLEANING_TYPE_MISMATCH,0x00019008,,,
248,NEEDLE_CLEANING_UNIT_DOWN_FAILURE,0x00019009,,,
249,NEEDLE_CLEANING_UNIT_UP_FAILURE,0x00019010,,,
250,NEEDLE_CLEANING_INVALID_CONTACT_COUNT,0x00019011,,,
251,NEEDLE_CLEANING_PIN_ALIGNMENT_NOT_DONE,0x00019012,,,
252,NEEDLE_CLEANING_PIN_ALIGNMENT_COMMAND_REJECTED,0x00019013,,,
253,NEEDLE_CLEANING_MARK_ALIGN_NOT_READY,0x00019014,,,
254,MARK_ALGIN_PATTERN_MATCH_FAILED,0x00020001,,O,
255,MARK_ALIGN_FOCUSING_FAILED,0x00020002,,O,
256,MARK_ALIGN_MOVE_ERROR,0x00020003,,O,
257,MARK_ALIGN_SHIFT,0x00020004,,O,
258,MARK_ALIGN_FAIL,0x00020005,,O,
259,AIRBLOW_CLEANING_ERROR,0x00021000,,,
260,AIRBLOW_TEMPERATURE_CONTROL_ERROR,0x00021001,,,
261,AIRCOOLING_ERROR,0x00021002,,,
262,TOUCH_SENSOR_NOT_READY,0x00022001,,,
263,POLISHWAFER_CLEANING_PIN_ALIGNMENT_NOT_DONE,0x00023001,,,
264,POLISHWAFER_CLEANING_PIN_ALIGNMENT_COMMAND_REJECTED,0x00023002,,,
