PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].SamplePinToleranceY;645;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].SamplePinToleranceZ;646;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].SourceName;20000814;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].CardCenterToleranceX;650;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].CardCenterToleranceY;651;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].CardCenterToleranceZ;652;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].EachPinToleranceX;653;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].EachPinToleranceY;654;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].EachPinToleranceZ;655;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].MinMaxZDiffLimit;657;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].PinCount;658;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].SamplePinAlignmentPinCount;659;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].SamplePinToleranceX;660;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].SamplePinToleranceY;661;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].SamplePinToleranceZ;662;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[4].SourceName;20000827;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].CardCenterToleranceX;666;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].CardCenterToleranceY;667;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].CardCenterToleranceZ;668;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].EachPinToleranceX;669;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].EachPinToleranceY;670;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].EachPinToleranceZ;671;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].MinMaxZDiffLimit;673;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].PinCount;674;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].SamplePinAlignmentPinCount;675;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].SamplePinToleranceX;676;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].SamplePinToleranceY;677;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].SamplePinToleranceZ;678;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[5].SourceName;20000840;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].CardCenterToleranceX;682;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].CardCenterToleranceY;683;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].CardCenterToleranceZ;684;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].EachPinToleranceX;685;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].EachPinToleranceY;686;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].EachPinToleranceZ;687;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].MinMaxZDiffLimit;689;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].PinCount;690;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].SamplePinAlignmentPinCount;691;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].SamplePinToleranceX;692;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].SamplePinToleranceY;693;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].SamplePinToleranceZ;694;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[6].SourceName;20000853;EMPTY;;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
